TE,TI,TR,RESISTOR,VENTOINHA,DATA,HORA,PID
24.350000,33.837891,36.000000,0,19,22/3/2021,10:46:40,-19
24.360001,33.290039,36.000000,0,11,22/3/2021,10:46:42,-11
24.360001,32.323242,36.000000,0,0,22/3/2021,10:46:44,0
24.370001,34.031250,36.000000,0,3,22/3/2021,10:46:46,-3
24.379999,35.481445,36.000000,0,10,22/3/2021,10:46:48,-10
24.370001,35.159180,36.000000,0,6,22/3/2021,10:46:50,-6
24.379999,36.190430,36.000000,0,12,22/3/2021,10:46:52,-12
24.379999,36.963867,36.000000,0,18,22/3/2021,10:46:54,-18
24.379999,36.641602,36.000000,0,17,22/3/2021,10:46:56,-17
24.389999,36.093750,36.000000,0,15,22/3/2021,10:46:58,-15
24.379999,36.996094,36.000000,0,21,22/3/2021,10:47:00,-21
24.400000,36.867188,36.000000,0,22,22/3/2021,10:47:02,-22
24.389999,35.255859,36.000000,0,7,22/3/2021,10:47:04,-7
24.400000,35.578125,36.000000,0,17,22/3/2021,10:47:06,-17
24.400000,38.059570,36.000000,0,41,22/3/2021,10:47:08,-41
24.400000,37.640625,36.000000,0,29,22/3/2021,10:47:10,-29
24.400000,37.415039,36.000000,0,31,22/3/2021,10:47:12,-31
24.410000,38.124023,36.000000,0,43,22/3/2021,10:47:14,-43
24.410000,38.059570,36.000000,0,43,22/3/2021,10:47:16,-43
24.420000,35.288086,36.000000,0,17,22/3/2021,10:47:18,-17
24.410000,35.126953,36.000000,0,28,22/3/2021,10:47:20,-28
24.420000,34.643555,36.000000,0,22,22/3/2021,10:47:22,-22
24.420000,34.998047,36.000000,0,25,22/3/2021,10:47:24,-25
24.430000,34.546875,36.000000,0,16,22/3/2021,10:47:26,-16
24.420000,35.126953,36.000000,0,22,22/3/2021,10:47:28,-22
24.420000,34.417969,36.000000,0,10,22/3/2021,10:47:30,-10
24.430000,34.579102,36.000000,0,12,22/3/2021,10:47:32,-12
24.440001,34.579102,36.000000,0,8,22/3/2021,10:47:34,-8
24.430000,34.901367,36.000000,0,8,22/3/2021,10:47:36,-8
24.420000,35.449219,36.000000,0,9,22/3/2021,10:47:38,-9
24.440001,35.416992,36.000000,0,8,22/3/2021,10:47:40,-8
24.420000,35.900391,36.000000,0,10,22/3/2021,10:47:42,-10
24.430000,35.868164,36.000000,0,10,22/3/2021,10:47:44,-10
24.410000,35.642578,36.000000,0,8,22/3/2021,10:47:46,-8
24.410000,35.610352,36.000000,0,7,22/3/2021,10:47:48,-7
24.410000,35.030273,36.000000,0,2,22/3/2021,10:47:50,-2
24.400000,35.288086,36.000000,0,2,22/3/2021,10:47:52,-2
24.379999,34.901367,36.000000,1,0,22/3/2021,10:47:54,1
24.389999,35.481445,36.000000,0,0,22/3/2021,10:47:56,0
24.389999,34.708008,36.000000,6,0,22/3/2021,10:47:58,6
24.410000,34.740234,36.000000,8,0,22/3/2021,10:48:00,8
24.360001,34.836914,36.000000,10,0,22/3/2021,10:48:02,10
24.350000,34.998047,36.000000,11,0,22/3/2021,10:48:04,11
24.360001,34.804688,36.000000,14,0,22/3/2021,10:48:06,14
24.360001,35.030273,36.000000,15,0,22/3/2021,10:48:08,15
24.360001,34.353516,36.000000,25,0,22/3/2021,10:48:10,25
24.379999,34.289062,36.000000,25,0,22/3/2021,10:48:12,25
24.370001,34.192383,36.000000,29,0,22/3/2021,10:48:14,29
24.379999,34.933594,36.000000,24,0,22/3/2021,10:48:16,24
24.379999,35.481445,36.000000,24,0,22/3/2021,10:48:18,24
24.379999,36.512695,36.000000,17,0,22/3/2021,10:48:20,17
24.379999,36.480469,36.000000,21,0,22/3/2021,10:48:22,21
24.400000,36.512695,36.000000,20,0,22/3/2021,10:48:24,20
24.389999,34.804688,36.000000,38,0,22/3/2021,10:48:26,38
24.400000,34.611328,36.000000,34,0,22/3/2021,10:48:28,34
24.410000,35.126953,36.000000,30,0,22/3/2021,10:48:30,30
24.400000,35.610352,36.000000,29,0,22/3/2021,10:48:32,29
24.370001,35.191406,36.000000,37,0,22/3/2021,10:48:34,37
24.340000,36.029297,36.000000,27,0,22/3/2021,10:48:36,27
24.330000,35.707031,36.000000,35,0,22/3/2021,10:48:38,35
24.350000,34.160156,36.000000,51,0,22/3/2021,10:48:40,51
24.350000,34.160156,36.000000,46,0,22/3/2021,10:48:42,46
24.350000,33.257812,36.000000,56,0,22/3/2021,10:48:44,56
24.360001,33.128906,36.000000,63,0,22/3/2021,10:48:46,63
24.370001,33.257812,36.000000,68,0,22/3/2021,10:48:48,68
24.379999,33.128906,36.000000,74,0,22/3/2021,10:48:50,74
24.379999,34.095703,36.000000,73,0,22/3/2021,10:48:52,73
24.370001,34.901367,36.000000,71,0,22/3/2021,10:48:54,71
24.330000,35.803711,36.000000,67,0,22/3/2021,10:48:56,67
24.309999,35.030273,36.000000,73,0,22/3/2021,10:48:58,73
24.309999,33.999023,36.000000,82,0,22/3/2021,10:49:00,82
24.299999,34.385742,36.000000,83,0,22/3/2021,10:49:02,83
24.320000,32.838867,36.000000,97,0,22/3/2021,10:49:04,97
24.320000,32.967773,36.000000,100,0,22/3/2021,10:49:06,100
24.320000,33.064453,36.000000,100,0,22/3/2021,10:49:08,100
24.330000,34.643555,36.000000,100,0,22/3/2021,10:49:10,100
