TE,TI,TR,PID,DATA,HORA
24.850000,50.176758,45.000000,-100,20/3/2021, 21:23:54
24.860001,50.047852,45.000000,-100,20/3/2021, 21:23:55
24.860001,50.047852,45.000000,-100,20/3/2021, 21:23:56
24.860001,49.532227,45.000000,-100,20/3/2021, 21:23:57
24.850000,49.532227,45.000000,-100,20/3/2021, 21:23:58
24.850000,49.467773,45.000000,-100,20/3/2021, 21:23:59
24.850000,49.467773,45.000000,-100,20/3/2021, 21:24:00
24.840000,48.984375,45.000000,-100,20/3/2021, 21:24:01
24.860001,48.984375,45.000000,-100,20/3/2021, 21:24:02
24.850000,48.694336,45.000000,-100,20/3/2021, 21:24:03
24.850000,48.694336,45.000000,-100,20/3/2021, 21:24:04
24.850000,48.662109,45.000000,-100,20/3/2021, 21:24:05
24.830000,48.662109,45.000000,-100,20/3/2021, 21:24:06
24.840000,48.372070,45.000000,-100,20/3/2021, 21:24:07
24.830000,48.372070,45.000000,-100,20/3/2021, 21:24:08
24.840000,48.275391,45.000000,-100,20/3/2021, 21:24:09
24.840000,48.275391,45.000000,-100,20/3/2021, 21:24:10
24.840000,48.436523,45.000000,-100,20/3/2021, 21:24:11
24.840000,48.436523,45.000000,-100,20/3/2021, 21:24:12
24.840000,48.372070,45.000000,-100,20/3/2021, 21:24:13
24.830000,48.372070,45.000000,-100,20/3/2021, 21:24:14
24.840000,47.276367,45.000000,-100,20/3/2021, 21:24:15
24.820000,47.276367,45.000000,-100,20/3/2021, 21:24:16
24.830000,47.083008,45.000000,-100,20/3/2021, 21:24:17
24.830000,47.083008,45.000000,-100,20/3/2021, 21:24:18
24.830000,46.277344,45.000000,-100,20/3/2021, 21:24:19
24.830000,46.277344,45.000000,-100,20/3/2021, 21:24:20
24.830000,45.890625,45.000000,-100,20/3/2021, 21:24:21
24.830000,45.890625,45.000000,-100,20/3/2021, 21:24:22
24.830000,45.213867,45.000000,-97,20/3/2021, 21:24:23
24.840000,45.213867,45.000000,-100,20/3/2021, 21:24:24
24.830000,45.213867,45.000000,-100,20/3/2021, 21:24:25
